Name,Casino/Name,Fryers/Count,Active
Voodoo Steakhouse,Rio Hotel & Casino,2,True
Canteen Food Hall - AttaBoy Burger,Rio Hotel & Casino,3,True
Banquets,Rio Hotel & Casino,6,True
Bazaar Mar,Shoppes at Crystals,2,True
Charleys Cheesesteak - Friday Dump,Charleys Cheesesteak,1,True
Charleys Cheesesteak - Monday Filter,Charleys Cheesesteak,1,True
Darla's Southern Cajun Bistro,Darla's Southern Cajun Bistro,2,True
Freedom Beats Cafe,Downtown Grand Hotel & Casino,3,True
DTG Pool,Downtown Grand Hotel & Casino,2,True
E.D.R. (Employee Dining Room),Rio Hotel & Casino,2,True
El Burro Borracho ,Rio Hotel & Casino,2,True
Hash House A Go-Go,Rio Hotel & Casino,3,True
In-Room Dining (I.R.D.) / Pool,Rio Hotel & Casino,2,True
Luckley Tavern,Rio Hotel & Casino,2,True
Canteen Food Hall - Southland Burrito,Rio Hotel & Casino,2,True
Sports Deli,Rio Hotel & Casino,3,True
Canteen Food Hall - Tender Crush,Rio Hotel & Casino,4,True
Triple George Grill,Downtown Grand Hotel & Casino,2,True
Jerry's,Summit Club,1,True
Golf House,Summit Club,2,True
Club House - Downstairs,Summit Club,2,True
Club House - Upstairs,Summit Club,3,True
Wing It!,Wing It!,3,True
Flanker's @Carver Road Hospitality,Mandalay Bay,7,True
Foundation Room,Mandalay Bay,1,True
House of Blues (HOB),Mandalay Bay,5,True
Main Kitchen - Zone 3,Silverton Casino Lodge,3,True
Mermaid - Zone 4,Silverton Casino Lodge,2,True
Mi Casa - Zone 2,Silverton Casino Lodge,3,True
Pool,Silverton Casino Lodge,2,True
Su Casa - Zone 2,Silverton Casino Lodge,1,True
Sundance Cafe - Zone 5,Silverton Casino Lodge,3,True
TDR (Team Dining Room) - Zone 2,Silverton Casino Lodge,1,True
Twin Creeks - Zone 2,Silverton Casino Lodge,1,True
Wuhu Noodle - Zone 1,Silverton Casino Lodge,2,True
1033 - America,NY/NY Casino,4,True
183 - EDR (Employee Dining Room),NY/NY Casino,2,True
427 - Gallagher's Steakhouse,NY/NY Casino,2,True
616 - Broadway Burger Bar,NY/NY Casino,3,True
622 - Production Kitchen,NY/NY Casino,3,True
643 - Village Streets (Fish & Chips),NY/NY Casino,4,True
Gonzalez y Gonzalez,NY/NY Casino,1,True
Main Kitchen,Caesar's Forum,6,True
Service Kitchen 1,Caesar's Forum,2,True
Service Kitchen 2,Caesar's Forum,2,True
Banquets,Aliante,4,True
Bistro 57,Aliante,2,True
Farm Cafe,Aliante,3,True
MRKT,Aliante,2,True
Salted Lime,Aliante,3,True
California Noodle House,California,1,True
EDR - Employee Dining Room,California,1,True
Market Street Cafe,California,3,True
Redwood Steakhouse,California,1,True
EDR - Employee Dining Room,Aliante,1,True
Carve Prime Rib Steakhouse,Cannery,1,True
EDR - Employee Dining Room,Cannery,1,True
Victory's Cafe,Cannery,3,True
Amalfi,Caesars Palace,3,True
Fremont Pizza Company,Fremont,1,True
Craft Kitchen,Fremont,3,True
Huey Magoo's,Fremont,5,True
Lanai Express,Fremont,2,True
Tomo Noodles,Fremont,1,True
Tony Roma's,Fremont,5,True
Bacchanal Buffet,Caesars Palace,8,True
Banquets - Ballroom (Hot Kitchen),Caesars Palace,3,True
Banquets - Octavius,Caesars Palace,4,True
Banquets - Promenade,Caesars Palace,2,True
Beijing Noodle,Caesars Palace,2,True
Forum Food Court - Bobby's Burgers,Caesars Palace,3,True
Brasserie B,Caesars Palace,5,True
Forum Food Court - Chicken Guy (Guy Fieri),Caesars Palace,4,True
EDR - Employee Dining Room,Caesars Palace,3,True
Gordon Ramsay Pub,Caesars Palace,4,True
Forum Food Court - Mok Bar,Caesars Palace,2,True
Hell's Kitchen,Caesars Palace,3,True
Room Service,Caesars Palace,1,True
Stanton Social Club,Caesars Palace,5,True
Forum Food Court - Tortazo,Caesars Palace,1,True
Brew Pub,Main Street,3,True
Buffet,Main Street,5,True
EDR - Employee Dining Room,Main Street,2,True
Alder & Birch Steakhouse,Orleans,1,True
Orleans Arena,Orleans,3,True
Bailiwick,Orleans,4,True
Banquets,Orleans,4,True
Bowling Snack Bar,Orleans,2,True
Copper Whisk Cafe,Orleans,3,True
EDR - Employee Dining Room,Orleans,2,True
Main Kitchen,Orleans,1,True
Ondori Asian Kitchen,Orleans,3,True
Bowling Snack Bar,Sam's Town,3,True
Angry Butcher,Sam's Town,3,True
Buffet,Sam's Town,8,True
EDR - Employee Dining Room,Sam's Town,2,True
Sports Deli,Sam's Town,2,True
Smokey Joe's,Sam's Town,2,True
90 Bar & Grill,Suncoast,3,True
Banquets,Suncoast,4,True
Bowling Snack Bar,Suncoast,3,True
Du Pars,Suncoast,2,True
William B's Steakhouse,Suncoast,2,True
Main Kitchen (GR Burgr & Pinky's),Flamingo,2,True
Bugsy's Steakhouse,Flamingo,2,True
EDR - Employee Dining Room,Flamingo,2,True
Havana 1957 (Independent),Flamingo,3,True
Pool Beach Club,Flamingo,2,True
Ramsay's Fish & Chips,Flamingo,8,True
Bobby's Burger,Harrah's,3,True
EDR - Employee Dining Room,Harrah's,4,True
Fulton Street Food Hall - Noodles,Harrah's,2,True
Guy Fieri,Harrah's,4,True
Main Kitchen,Harrah's,2,True
EDR - Employee Dining Room,Horseshoe,2,True
Flavortown - Guy Fieri,Horseshoe,4,True
Jack Binion's Steakhouse,Horseshoe,3,True
Banquets,Paris,3,True
Bobby's Burger,Paris,4,True
Cafe Americana,Paris,3,True
Dominique Ansel,Paris,1,True
EDR / Room Service (Midday Filter),Paris,3,True
EDR / Room Service,Paris,2,True
Gordon Ramsay Steakhouse,Paris,2,True
Martha Stewart - Bedford,Paris,2,True
Nobu,Paris,2,True
Vanderpump,Paris,2,True
Banquets,Planet Hollywood,0,True
EDR / Main Kitchen / Room Service,Planet Hollywood,3,True
Gordon Ramsay Burgr,Planet Hollywood,5,True
Caramello,Planet Hollywood,2,True
Giada,The Cromwell,2,True
DiscoShow/Diner Ross - Independent,The Linq,2,True
EDR - Employee Dining Room,The Linq,2,True
Favorite Bistro - Independent,The Linq,2,True
Main Kitchen,The Linq,2,True
Jason Aldean's Kitchen + Bar,Shoppes at Crystals,3,True
Cafe Americano,Caesars Palace,1,True
Banquets,Gold Coast,2,True
Bowling Snack Bar,Gold Coast,2,True
Cornerstone Steakhouse,Gold Coast,3,True
Line,Jokers Wild,0,True
Gordon Ramsay Burgr,Flamingo,4,True
Pinky's,Flamingo,1,True
Giada - Pastry,The Cromwell,1,True
Bottled Blonde,Bottled Blonde,5,True
Pool (Back EDR),Aliante,5,True
Yolo - Independant,Planet Hollywood,2,True
Superfrico,,3,True
EDR Daytime,Harrah's Daytime,2,True
Freedom Beats Cafe Backline Fryer,Downtown Grand Hotel & Casino,1,True
